"","hm_list_v"
"228",1.86970218658114
"229",1.68944843134192
"230",2.08065103392306
"231",1.90074166194993
"232",1.84212403468353
"233",1.91268236222013
"234",1.97314006300134
"235",2.00994719786883
"236",1.89696715537257
"237",1.85652286919494
"238",1.93386628742944
"239",1.74740517137246
"240",2.0341412199353
"241",1.6988342311822
"242",1.88662532053333
"243",1.95537577142462
"244",2.02580316225861
"245",1.9732023389109
"246",1.85111279847047
"247",1.88583766006596
"248",1.97100473043462
"249",1.86044257887547
"250",2.1008187662752
"251",1.93956931265188
"252",1.86819884111181
"253",1.70085647214292
"254",1.89079951357524
"255",2.00995590017353
"256",1.82632883519395
"257",2.00756645755142
"258",1.97025560110657
"259",2.0615286484933
"260",1.82007496750397
"261",1.99804244964116
"262",1.7573101243172
"263",2.02702249407641
"264",1.92900574224652
"265",1.87765189570129
"266",1.9749299986989
"267",1.94432204412645
"268",1.67155753449483
"269",1.85282183200846
"270",1.81296889251133
"271",1.88786523731918
"272",1.88935716724349
"273",1.8763711982391
"274",1.73319949499865
"275",1.80426703550577
"276",1.77727206902356
"277",2.24509268691988
"278",1.99607695607726
"279",2.04432773854434
"280",1.93012333717992
"281",1.92804362725516
"282",2.18653663773276
"283",1.96245075311907
"284",1.87147147058664
"285",1.81671315790261
"286",1.78386729438242
"287",2.01025017851035
"288",1.97892879847428
"289",1.99955153926604
"290",1.85708708228003
"291",1.97021304007188
"292",1.83646173907669
"293",1.98776308086759
"294",2.01425816464332
"295",2.15332342057861
"296",2.0472342658079
"297",1.90877110758997
"298",1.85748998250816
"299",1.73609192104649
"300",1.89647124719093
"301",1.81160606903887
"302",2.10649642556322
"303",1.6777443211288
"304",2.06842399769329
"305",1.97331677685297
"306",1.75759119065336
"307",1.84227626359561
"308",1.98214065312344
"309",1.94601280747471
"310",1.92319049352985
"311",1.77584842529972
"312",1.88385472954194
"313",1.94002736835251
"314",1.83800049128701
"315",1.93647719484753
"316",2.26835994939388
"317",2.04924375127537
"318",1.9003213032519
"319",1.94983373542245
"320",1.68519282471562
"321",1.76960646880041
"322",1.91171953942763
"323",1.92892654405842
"324",1.85438814965881
"325",1.87129861368571
"326",1.81711687794708
"327",1.89968935268743
"328",1.92105493866582
"329",1.77390718459452
"330",1.82706646700465
"331",1.93943938196448
"332",1.77894619476604
"333",1.96044338277763
"334",1.88761729268602
"335",1.90516770065628
"336",1.86430815258334
"337",2.0425861395185
"338",1.89635469062519
"339",1.83330981310144
"340",1.80179251854346
"341",1.80912645649416
"342",1.89327329463901
"343",1.85923339846297
"344",1.93728243531253
"345",2.12091680697655
"346",1.84712304543806
"347",1.84860318552508
"348",1.81554967122209
"349",1.88941703580288
"350",2.01843601083719
"351",2.02447359354647
"352",1.76690442414973
"353",2.0077932090132
"354",2.04475116702667
"355",1.90195034553939
"356",1.91662701806171
"357",1.66537465529127
"358",1.94815466235578
"359",1.99814924188424
"360",1.87443146969965
"361",2.04667194492541
"362",1.86804102330678
"363",1.91428657986916
"364",1.85612886693383
"365",2.03304007236064
"366",2.04393427397836
"367",2.15205915840446
"368",1.92050741188122
"369",1.93350454578634
"370",1.89056056518458
"371",2.01833292272099
"372",1.94603246984261
"373",1.92971443138607
"374",1.69199583979455
"375",1.86386168911792
"376",1.9918076018777
"377",2.05636957822067
"378",1.91797529378678
"379",1.85874658789182
"380",1.69125497536764
"381",1.9965601783539
"382",1.88030754473309
"383",1.98939317348009
"384",1.68426478444732
"385",1.98827410282879
"386",1.87539114948488
"387",1.88183720146697
"388",1.80993931149697
"389",1.86038399772117
"390",1.71958000729473
"391",1.98893185905651
"392",2.03099263580226
"393",1.83332500537064
"394",1.936929619078
"395",1.93544030013272
"396",1.90384201817376
"397",1.91388222956849
"398",1.66950442995124
"399",1.89881776070661
"400",2.12413848774471
"401",1.87955617008122
"402",2.02485464174132
"403",2.04432996599394
"404",1.74892152959645
"405",1.80225616772589
"406",1.71190907209044
"407",1.91809075519314
"408",1.93971129409544
"409",1.77738300037132
"410",1.91026640170887
"411",1.8198268442989
"412",1.92647768091743
"413",1.89279292791916
"414",1.88251119100584
"415",2.06131085338392
"416",1.86320299696727
"417",1.83309228167636
"418",2.04122695520302
"419",2.0119076368837
"420",1.84234180644892
"421",1.91291133148669
"422",1.98247227264536
"423",1.908244315897
"424",1.94483715500402
"425",1.63702742791102
"426",1.8265228360992
"427",1.91605338807308
"428",1.89174726538035
"429",1.96141848314228
"430",1.97306286882603
"431",1.74033756058212
"432",1.96659799754017
"433",1.84874370746376
"434",1.72867939617875
"435",1.98631755208615
"436",1.82698836926438
"437",1.80516224478609
"438",1.97146227061909
"439",1.91507173113744
"440",1.84114937264864
"441",1.7900112337033
"442",1.94356424943272
"443",1.88093545999788
"444",1.9944720551457
"445",1.96901389034426
"446",1.97239877414794
"447",1.88880629061638
"448",2.01589364350134
"449",1.82745187876897
"450",1.78637295249953
"451",1.73548877011599
"452",1.96229890928897
"453",2.08006698378435
"454",1.95772763779615
"455",1.92467471323001
"456",1.95647111321034
"457",1.97761390726419
"458",1.99088040467936
"459",1.92284842380844
"460",1.99110418395873
"461",1.81980696976176
"462",1.90650699842784
"463",1.80494432450705
"464",1.99429539165057
"465",1.95400014647595
"466",1.83623630050707
"467",1.88154156287661
"468",1.80468418877866
"469",1.87958003120659
"470",1.79506795770583
"471",2.09079032496858
"472",1.81189952576129
"473",1.89283890922914
"474",2.22888082085567
"475",2.09749213105128
"476",1.98135980589272
"477",1.76210962731272
"478",1.83832604214334
"479",2.08007237422113
"480",1.80962503703832
"481",1.90975107839943
"482",1.93594547544285
"483",1.95666753513821
"484",1.94703220532953
"485",1.95003481749295
"486",2.04559022307968
"487",1.81884096304047
"488",1.98522664647997
"489",1.79223466824289
